sba_borrower_name,sba_city,sba_zip,candidate_business_name,candidate_city,match_score,sba_loan_id,business_id
JP Trucking & Excavating,BELLOWS FALLS,5101,P & L TRUCKING INC,"17 Town Farm Rd, Bellows Falls, VT 05101, USA",71.43,43599147-e9ef-5efe-b2a0-22211dc6123c,59f5c8e8-2b61-4d13-b3a0-e177e3982be4
Harvey Auto LLC,MONSON,1057,HARVEY AUTO,"248 Main St, Monson, MA 01057, USA",84.62,6a843729-22b1-5ebc-982d-35ae305929c2,9806a4ee-bb9c-4872-adee-888461bb18b7
J Dinovo Construction LLC,HUDSON,3051,MJC CONSTRUCTION,"225 Darling Rd, Hudson, ME 04449, USA",73.17,8244e5ff-043e-5e35-920c-64677e0f0660,63357078-f5af-4749-a148-5e35c06699b1
Mikes' Auto Service LLC,Haddam,6438,ROB'S AUTO SERVICE INC,"21 Town St, East Haddam, CT 06423, USA",71.11,ca6f98c4-ae61-5df6-b22c-cfeb45121d58,f718d17a-f636-4ed2-8d40-18d44f384708
River Stone Development LLC.,CHARLESTOWN,2813,RIVER STONE DEVELOPMENT & PROPERTIES,"89B Country Dr, Charlestown, RI 02813, USA",75.0,22baf691-3113-5a10-9406-07568be34555,dbe51397-f5b7-472b-8ba3-118a240109fe
River Stone Development LLC.,CHARLESTOWN,2813,RIVER STONE DEVELOPMENT & PROPERTIES,"89B Country Dr, Charlestown, RI 02813, USA",75.0,abcac92a-d4ec-59ed-9c62-f19ebd0d3d4b,dbe51397-f5b7-472b-8ba3-118a240109fe
Rutland Music Inc.,RUTLAND,5701,"RUTLAND NURSERIES, INC.","82 Emerald Rd, Rutland, MA 01543, USA",78.05,97c0681f-55cb-5fcb-bab0-b7bbd4b76da6,48ed2b1d-a3ff-4cb8-af3b-4f2d53d88549
J C Stone Inc,JEFFERSON,4348,J.C. STONE INC.,"539 Rockland Rd, Jefferson, ME 04348, USA",78.57,fe4c8bf7-2a1f-5989-b497-350e04e3b1ef,92b9a1cc-a24a-44f7-9b69-69f9622cf910
Z & M Corporation,Pembroke,2359,LDG CORPORATION,"701 Borough Rd, Pembroke, NH 03275, USA",75.0,1c680cc3-4083-56e5-8b57-79cd7b530478,0fac20bc-96cd-455e-9ac9-2a56a71ac10c
Quality Plumbing & Heating LLC,DAYVILLE,6241,REALL PLUMBING & HEATING,"23 Bartlett Meadow Dr, Dayville, CT 06241, USA",77.78,da3568bb-0bbf-5625-b39f-a9d7e23c2b86,6ff887a6-1234-404a-a81e-db0a2e657e8e
Square Medical Group LLC,Newton,2458,RELIANT MEDICAL GROUP,"24 Newton St, Southborough, MA 01772, USA",71.11,24d9957f-42c4-5dd5-91d6-5c544e59cca3,9995b88a-8db4-4878-8fca-635ca9dcf5ae
Chace Building Supply of CT. Inc.,WOODSTOCK,6281,CHACE BUILDING SUPPLY,"90 CT-171, Woodstock, CT 06281, USA",77.78,1b0c7758-35df-5803-a5bb-fc20c6f7133a,353b32e6-51c4-46f0-8642-bc65a7fd84a2
THOMAS B CARROLL INSURANCE,WORCESTER,1602,MARIA DEBARROS INSURANCE,"38 Worcester St, Taunton, MA 02780, USA",72.0,d6920264-005b-53bf-90a6-a170da3a3d53,9f8fb137-1a55-4ac0-90b7-5be4a2ee5743
Torrington Car Care,TORRINGTON,6790,O&G TORRINGTON QUARRY,"255 Lower Bogue Rd #1, Torrington, CT 06790, USA",70.0,b0ec6a4d-e399-532c-a0e4-2ab71c71a32a,8bc85aaf-c41f-497d-83a3-2c92a4624070
Rutland Music Inc.,RUTLAND,5701,"RUTLAND NURSERIES, INC.","82 Emerald Rd, Rutland, MA 01543, USA",78.05,a514c3a9-89c5-575c-83c5-38abe7522723,48ed2b1d-a3ff-4cb8-af3b-4f2d53d88549
Andover Audio LLC,Andover,1845,ANDOVER LANDSCAPING LLC,"5 Hendee Rd, Andover, CT 06232, USA",75.0,7f85bef1-e0ab-59d4-aa3e-4d2eb560b42c,590d90b5-83bf-4c33-b7cd-ea9a6fa54f6f
LMH Electric LLC,BRISTOL,6010,D HALLE ELECTRIC LLC,"1101 John Smith Hill Rd, Bristol, NH 03222, USA",72.22,aa11a8bc-8c27-53fc-885a-a6301bd4a7fe,bafe6eb5-6386-405e-978c-5f30bf986eef
Peabody Podiatry LLC,PEABODY,1960,PEABODY POND YARD,"420 Peabody Pond Rd, Sebago, ME 04029, USA",70.27,62d351b4-0b7a-57af-bb71-8221a654b4cc,ceeb27e3-780b-4afb-be7e-25d590620658
SPIRIT WELLNESS LLC,SALEM,1970,LANDCRAFT WELLNESS,"3602 County Rte 30, Salem, NY 12865, USA",70.27,adaf7b6d-3640-54d8-9864-198aaf6ebd68,42548df0-0ce2-442f-bccd-5107a1423245
SPIRIT WELLNESS LLC,SALEM,1970,LANDCRAFT WELLNESS,"3602 County Rte 30, Salem, NY 12865, USA",70.27,f0a44abe-1f35-5ecf-9f08-74e12467ac30,42548df0-0ce2-442f-bccd-5107a1423245
NGS Dirt Works,HAMPDEN,1036,NGS DIRT WORKS INC.,"534 Main St Unit 328, Hampden, MA 01036, USA",84.85,876e67ef-fd77-59b0-9bd6-945068c214b2,7bafebd0-fb8b-4d1f-a8fa-8d90042adafd
Kustra Auto Body LLC,LEE,3861,KUSTRA'S AUTO BODY,"128 Wadleigh Falls Rd, Lee, NH 03861, USA",84.21,272ed3dd-1d8e-5da7-8d1b-585149fcfe76,5aab6f9b-dd58-4a91-8eef-f2b2c691fef3
J.M. Serpa Construction LLC,HUDSON,3051,"JIM SCHAIBLE CONSTRUCTION, LLC","684 Oak Hill Rd, Hudson, NY 12534, USA",77.19,9bda7529-e077-5e2e-8deb-c93064f8d6fd,73f47e99-229c-4ade-a8e6-a036ab97f9d4
Nichols Self Storage,LIVERMORE,4253,LIVERMORE SELF STORAGE,"Robinson Rd, Livermore, ME 04253, USA",71.43,580d6c70-ebb7-5d84-b754-a6f187a62efa,ebd94187-27e1-4006-b9c2-7905da755990
J. H. LANDSCAPING AND CONSTRUCTION INC.,SWANSEA,2777,J H LANDSCAPING & CONSTRUCTION,"1102 Sharps Lot Rd, Swansea, MA 02777, USA",84.06,c7c4cbe2-8db0-5375-856f-6f798cd3b32c,328b6b33-e48c-4431-a250-c48f613f92be
VALLEY SPORTS CENTER LLC,CANTON,6019,VALLEY HYDRO PROS LLC,"0 Barbourtown Rd, Canton, CT 06019, USA",71.11,6b223f49-3d66-5c2a-8215-0ed40e7e3fce,ed691522-f993-414b-98d4-034fab552ec7
Village Greenhouses,FRANKLIN,2038,VILLAGE GROOMER,"3194 Franklin Ave, Millbrook, NY 12545, USA",70.59,27a99f99-c8f1-5306-9b91-65ebc77a78e6,077e4d9a-0837-47d7-af8e-29e705096a63
Andrews Plumbing and Heating Co Inc,GLOUCESTER,1930,"DAHMS PLUMBING & HEATING, INC.","116B Cobble Hill Rd, New Gloucester, ME 04260, USA",73.85,861a74ed-28d4-57f0-babf-1e63529c46e9,33e9f852-f291-4634-9eb5-90ad4439a74b
Byram Construction LLC,Hermon,4401,D & D CONSTRUCTION,"672 Newburgh Rd, Hermon, ME 04401, USA",70.0,f22ad7ff-4302-5381-9d08-6e7e70aa7136,5eb9d847-cea9-4675-ab94-b7f204e199ff
Soderquist Construction,DERRY,3038,MAVERICK CONSTRUCTION,"309 Sherwood Forest, Londonderry, VT 05148, USA",72.73,8c143c56-af72-50ab-a9c2-a5a2397816ef,7359a7d6-859b-4080-9000-d14da4f020ba
AMPL CORPORATION,Salem,1970,ANALOGIC CORPORATION,"Northeastern Blvd, Salem, NH 03079, USA",77.78,cf007529-ee80-5a8e-b56c-66359d3bde9d,e7982904-6252-4667-814d-602b9f41a64b
Front Line Power Solutions LLC,BRISTOL,2809,COASTLINE PROPERTY SOLUTIONS,"17 Bay Woods Rd, Bristol, ME 04539, USA",72.41,8661f7a6-ada3-5364-b029-a94aff46b5c4,88e58bf0-395d-42d9-874f-d94e657fb349
East Windsor Noble Inc.,EAST WINDSOR,6088,EAST WINDSOR HIGH SCHOOL,"76 S Main St, East Windsor, CT 06088, USA",72.34,311d22ec-5727-576b-a4ed-f9e01975fb67,b5e1e958-8c15-4cac-8934-74dbc1765471
Electrical Power Solutions LLC,HARTFORD,6106,WESTCOTT ELECTRICAL LLC,"1253 Main St, Hartford, ME 04220, USA",75.47,44051a34-4e3f-57c8-a91d-d0653ff066b8,95058e84-991a-49be-8d04-dd28670ea24d
